customerID,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn
7590-VHVEG,Yes,Electronic check,29.85,No
5575-GNVDE,No,Mailed check,56.95,No
3668-QPYBK,Yes,Mailed check,53.85,Yes
7795-CFOCW,No,Bank transfer (automatic),42.3,No
9237-HQITU,Yes,Electronic check,70.7,Yes
9305-CDSKC,Yes,Electronic check,99.65,Yes
1452-KIOVK,Yes,Credit card (automatic),89.1,No
6713-OKOMC,No,Mailed check,29.75,No
7892-POOKP,Yes,Electronic check,104.8,Yes
6388-TABGU,No,Bank transfer (automatic),56.15,No
9763-GRSKD,Yes,Mailed check,49.95,No
7469-LKBCI,No,Credit card (automatic),18.95,No
8091-TTVAX,No,Credit card (automatic),100.35,No
0280-XJGEX,Yes,Bank transfer (automatic),103.7,Yes
5129-JLPIS,Yes,Electronic check,105.5,No
3655-SNQYZ,No,Credit card (automatic),113.25,No
8191-XWSZG,No,Mailed check,20.65,No
9959-WOFKT,No,Bank transfer (automatic),106.7,No
4190-MFLUW,No,Credit card (automatic),55.2,Yes
4183-MYFRB,Yes,Electronic check,90.05,No
8779-QRDMV,Yes,Electronic check,39.65,Yes
1680-VDCWW,No,Bank transfer (automatic),19.8,No
1066-JKSGK,No,Mailed check,20.15,Yes
3638-WEABW,Yes,Credit card (automatic),59.9,No
6322-HRPFA,No,Credit card (automatic),59.6,No
6865-JZNKO,Yes,Bank transfer (automatic),55.3,No
6467-CHFZW,Yes,Electronic check,99.35,Yes
8665-UTDHZ,No,Electronic check,30.2,Yes
5248-YGIJN,Yes,Credit card (automatic),90.25,No
